;CrawledSite;URL;Site;Method;Origin
101;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/browserinfo/mi24ReloadHandler.js;www.munichre.com;GET;
102;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/mre_dom_ops.js;www.munichre.com;GET;
103;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/fixes.js;www.munichre.com;GET;
104;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/Munich-Re-logo.gif;www.munichre.com;GET;
105;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/GB-2017-Stage-952x256.png;www.munichre.com;GET;
106;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/952x256-munich-re-agm-2015.jpg;www.munichre.com;GET;
107;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/TO-Wenning-meets-Bosch-952x256.png;www.munichre.com;GET;
108;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assets-topicsonline/2018/04/fraugster/GettyImages_ktsdesign-sciencephotolibrary_713786977_blue-fingerprint_952x256.jpg;www.munichre.com;GET;
109;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/TO-GettyImages-179707312_952x256.jpg;www.munichre.com;GET;
110;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/munich-re-agm-2015-228x114.jpg;www.munichre.com;GET;
111;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/GB_2017_Jahr_228x114px.png;www.munichre.com;GET;
112;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/munich-re-corporate-responsibility-2017-228x116.png;www.munichre.com;GET;
113;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/munich-re-reinsurance-risk-solutions-conveyors-194x112.jpg;www.munichre.com;GET;
114;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/munich-re-map-208x108.png;www.munichre.com;GET;
115;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/munich-re-topics-online-teaser-194%C3%97114.png;www.munichre.com;GET;
116;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/webtrends.load.js;www.munichre.com;GET;
117;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/shariff.min.js;www.munichre.com;GET;
118;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/webtrends-tracking.js;www.munichre.com;GET;
119;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_phone_portrait.css;www.munichre.com;GET;
120;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_phone_landscape.css;www.munichre.com;GET;
121;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_mobile.css;www.munichre.com;GET;
122;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_desktop.css;www.munichre.com;GET;
123;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_tablet_landscape.css;www.munichre.com;GET;
124;https://www.munichre.com;https://insitez.blob.core.windows.net/site/15ebd56e-e220-433f-94dd-890f403c6a00.js;insitez.blob.core.windows.net;GET;
125;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/img/bgBdy_mobile.png;www.munichre.com;GET;
126;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/clr/plScnBg.png;www.munichre.com;GET;
